sample,t_sec,pointer_x,pointer_y,frame_x,frame_y,frame_w,frame_h,client_x,client_y,client_w,client_h
1,0.085958,295,72,90,59,484,347,0,31,484,316
2,0.169122,300,73,90,59,484,347,0,31,484,316
3,0.252388,305,74,90,59,484,347,0,31,484,316
4,0.335521,310,75,90,59,484,347,0,31,484,316
5,0.418708,315,76,90,59,484,347,0,31,484,316
6,0.501955,320,77,90,59,484,347,0,31,484,316
7,0.585173,325,78,90,59,484,347,0,31,484,316
8,0.668376,330,79,90,59,484,347,0,31,484,316
9,0.751519,335,80,90,59,484,347,0,31,484,316
10,0.834718,340,81,90,59,484,347,0,31,484,316
11,0.917904,345,82,90,59,484,347,0,31,484,316
12,1.001107,350,83,90,59,484,347,0,31,484,316
13,1.084279,354,84,90,59,484,347,0,31,484,316
14,1.167450,359,85,90,59,484,347,0,31,484,316
15,1.250593,364,86,90,59,484,347,0,31,484,316
16,1.333752,369,87,90,59,484,347,0,31,484,316
17,1.416911,374,88,90,59,484,347,0,31,484,316
18,1.500083,379,89,90,59,484,347,0,31,484,316
19,1.583279,384,90,90,59,484,347,0,31,484,316
20,1.666559,389,91,90,59,484,347,0,31,484,316
21,1.749685,394,92,90,59,484,347,0,31,484,316
22,1.832953,399,93,90,59,484,347,0,31,484,316
23,1.916252,404,94,90,59,484,347,0,31,484,316
24,1.999547,409,95,90,59,484,347,0,31,484,316
25,2.082704,414,96,90,59,484,347,0,31,484,316
26,2.165956,419,97,90,59,484,347,0,31,484,316
27,2.249225,424,98,90,59,484,347,0,31,484,316
28,2.332566,429,99,90,59,484,347,0,31,484,316
29,2.415837,434,100,90,59,484,347,0,31,484,316
30,2.499014,439,101,90,59,484,347,0,31,484,316
31,2.582170,444,102,90,59,484,347,0,31,484,316
32,2.665348,449,103,90,59,484,347,0,31,484,316
33,2.748505,454,104,90,59,484,347,0,31,484,316
34,2.831649,459,105,90,59,484,347,0,31,484,316
35,2.914785,464,106,90,59,484,347,0,31,484,316
36,2.997933,469,107,90,59,484,347,0,31,484,316
37,3.081096,473,108,90,59,484,347,0,31,484,316
38,3.164221,478,109,90,59,484,347,0,31,484,316
39,3.247472,483,110,90,59,484,347,0,31,484,316
40,3.330611,488,111,90,59,484,347,0,31,484,316
41,3.413758,493,112,90,59,484,347,0,31,484,316
42,3.496926,498,113,90,59,484,347,0,31,484,316
43,3.580109,503,114,90,59,484,347,0,31,484,316
44,3.663268,508,115,90,59,484,347,0,31,484,316
45,3.746453,513,116,90,59,484,347,0,31,484,316
46,3.829591,518,117,90,59,484,347,0,31,484,316
47,3.912702,523,118,90,59,484,347,0,31,484,316
48,3.995808,528,119,90,59,484,347,0,31,484,316
