i,t,px,py,rootchild,fx,fy,fw,fh,cx,cy,cw,ch
1,0.08314067701576278,295,72,0x20000f,90,59,484,347,0,31,484,316
2,0.16629701800411567,300,73,0x20000f,90,59,484,347,0,31,484,316
3,0.24949245498282835,305,74,0x20000f,90,59,484,347,0,31,484,316
4,0.3325906189857051,310,75,0x20000f,90,59,484,347,0,31,484,316
5,0.4156800099881366,315,76,0x20000f,90,59,484,347,0,31,484,316
6,0.4988181770313531,320,77,0x20000f,90,59,484,347,0,31,484,316
7,0.581955571018625,325,78,0x20000f,90,59,484,347,0,31,484,316
8,0.6651465430040844,330,79,0x20000f,90,59,484,347,0,31,484,316
9,0.7483976479852572,335,80,0x20000f,90,59,484,347,0,31,484,316
10,0.8316551949828863,340,81,0x20000f,90,59,484,347,0,31,484,316
11,0.9148272059974261,345,82,0x20000f,90,59,484,347,0,31,484,316
12,0.9980180920101702,350,83,0x20000f,90,59,484,347,0,31,484,316
13,1.0811992809758522,354,84,0x20000f,90,59,484,347,0,31,484,316
14,1.1644622649764642,359,85,0x20000f,90,59,484,347,0,31,484,316
15,1.2475625090301037,364,86,0x20000f,90,59,484,347,0,31,484,316
16,1.3306504909996875,369,87,0x20000f,90,59,484,347,0,31,484,316
17,1.4138152369996533,374,88,0x20000f,90,59,484,347,0,31,484,316
18,1.4969703080132604,379,89,0x20000f,90,59,484,347,0,31,484,316
19,1.5801097549847327,384,90,0x20000f,90,59,484,347,0,31,484,316
20,1.663375662988983,389,91,0x20000f,90,59,484,347,0,31,484,316
21,1.7465168429771438,394,92,0x20000f,90,59,484,347,0,31,484,316
22,1.8296827180311084,399,93,0x20000f,90,59,484,347,0,31,484,316
23,1.9129350630100816,404,94,0x20000f,90,59,484,347,0,31,484,316
24,1.9960664379759692,409,95,0x20000f,90,59,484,347,0,31,484,316
25,2.079183943977114,414,96,0x20000f,90,59,484,347,0,31,484,316
26,2.162366246979218,419,97,0x20000f,90,59,484,347,0,31,484,316
27,2.2455749830114655,424,98,0x20000f,90,59,484,347,0,31,484,316
28,2.3288724930025637,429,99,0x20000f,90,59,484,347,0,31,484,316
29,2.4119961580145173,434,100,0x20000f,90,59,484,347,0,31,484,316
30,2.4951259089866653,439,101,0x20000f,90,59,484,347,0,31,484,316
31,2.5783558409893885,444,102,0x20000f,90,59,484,347,0,31,484,316
32,2.6615666010184214,449,103,0x20000f,90,59,484,347,0,31,484,316
33,2.744778230029624,454,104,0x20000f,90,59,484,347,0,31,484,316
34,2.8278822469874285,459,105,0x20000f,90,59,484,347,0,31,484,316
35,2.9110682400059886,464,106,0x20000f,90,59,484,347,0,31,484,316
