sample,t_sec,pointer_x,pointer_y,frame_x,frame_y,frame_w,frame_h,client_x,client_y,client_w,client_h
1,0.083302,295,72,90,59,484,347,0,31,484,316
2,0.166462,300,73,90,59,484,347,0,31,484,316
3,0.249709,305,74,90,59,484,347,0,31,484,316
4,0.332955,310,75,90,59,484,347,0,31,484,316
5,0.416101,315,76,90,59,484,347,0,31,484,316
6,0.499238,320,77,90,59,484,347,0,31,484,316
7,0.582416,325,78,90,59,484,347,0,31,484,316
8,0.665566,330,79,90,59,484,347,0,31,484,316
9,0.748965,335,80,90,59,484,347,0,31,484,316
10,0.832439,340,81,90,59,484,347,0,31,484,316
11,0.915611,345,82,90,59,484,347,0,31,484,316
12,0.998809,350,83,90,59,484,347,0,31,484,316
13,1.081959,354,84,90,59,484,347,0,31,484,316
14,1.165070,359,85,90,59,484,347,0,31,484,316
15,1.248291,364,86,90,59,484,347,0,31,484,316
16,1.331662,369,87,90,59,484,347,0,31,484,316
17,1.415007,374,88,90,59,484,347,0,31,484,316
18,1.498353,379,89,90,59,484,347,0,31,484,316
19,1.581470,384,90,90,59,484,347,0,31,484,316
20,1.664568,389,91,90,59,484,347,0,31,484,316
21,1.747976,394,92,90,59,484,347,0,31,484,316
22,1.831262,399,93,90,59,484,347,0,31,484,316
23,1.914520,404,94,90,59,484,347,0,31,484,316
24,1.997658,409,95,90,59,484,347,0,31,484,316
25,2.080788,414,96,90,59,484,347,0,31,484,316
26,2.163927,419,97,90,59,484,347,0,31,484,316
27,2.247107,424,98,90,59,484,347,0,31,484,316
28,2.330475,429,99,90,59,484,347,0,31,484,316
29,2.413717,434,100,90,59,484,347,0,31,484,316
30,2.496957,439,101,90,59,484,347,0,31,484,316
31,2.580148,444,102,90,59,484,347,0,31,484,316
32,2.663276,449,103,90,59,484,347,0,31,484,316
33,2.746469,454,104,90,59,484,347,0,31,484,316
34,2.829599,459,105,90,59,484,347,0,31,484,316
35,2.912716,464,106,90,59,484,347,0,31,484,316
36,2.995873,469,107,90,59,484,347,0,31,484,316
37,3.079166,473,108,90,59,484,347,0,31,484,316
38,3.162472,478,109,90,59,484,347,0,31,484,316
39,3.245636,483,110,90,59,484,347,0,31,484,316
40,3.328816,488,111,90,59,484,347,0,31,484,316
41,3.411942,493,112,90,59,484,347,0,31,484,316
42,3.495089,498,113,90,59,484,347,0,31,484,316
43,3.578287,503,114,90,59,484,347,0,31,484,316
44,3.661521,508,115,90,59,484,347,0,31,484,316
45,3.744745,513,116,90,59,484,347,0,31,484,316
46,3.827923,518,117,90,59,484,347,0,31,484,316
47,3.911230,523,118,90,59,484,347,0,31,484,316
48,3.994641,528,119,90,59,484,347,0,31,484,316
49,4.077828,533,120,90,59,484,347,0,31,484,316
50,4.160945,538,121,90,59,484,347,0,31,484,316
51,4.244312,543,122,90,59,484,347,0,31,484,316
52,4.327655,548,123,90,59,484,347,0,31,484,316
53,4.410861,553,124,90,59,484,347,0,31,484,316
54,4.494199,558,125,90,59,484,347,0,31,484,316
55,4.577393,563,126,90,59,484,347,0,31,484,316
56,4.660559,568,127,90,59,484,347,0,31,484,316
57,4.744085,573,128,90,59,484,347,0,31,484,316
58,4.827310,578,129,90,59,484,347,0,31,484,316
59,4.910504,583,130,90,59,484,347,0,31,484,316
60,4.994247,588,131,90,59,484,347,0,31,484,316
61,5.077430,592,131,90,59,484,347,0,31,484,316
62,5.160552,597,132,90,59,484,347,0,31,484,316
63,5.244719,602,133,90,59,484,347,0,31,484,316
64,5.327973,607,134,90,59,484,347,0,31,484,316
65,5.411221,612,135,90,59,484,347,0,31,484,316
66,5.494952,617,136,90,59,484,347,0,31,484,316
67,5.578234,622,137,90,59,484,347,0,31,484,316
68,5.661414,627,138,90,59,484,347,0,31,484,316
69,5.745257,632,139,90,59,484,347,0,31,484,316
70,5.828528,637,140,90,59,484,347,0,31,484,316
71,5.911625,642,141,90,59,484,347,0,31,484,316
72,5.995430,647,142,90,59,484,347,0,31,484,316
73,6.078600,652,143,90,59,484,347,0,31,484,316
74,6.161743,657,144,90,59,484,347,0,31,484,316
75,6.245268,662,145,90,59,484,347,0,31,484,316
76,6.328526,667,146,90,59,484,347,0,31,484,316
77,6.411722,672,147,90,59,484,347,0,31,484,316
78,6.494837,677,148,90,59,484,347,0,31,484,316
79,6.577961,682,149,90,59,484,347,0,31,484,316
80,6.661074,687,150,90,59,484,347,0,31,484,316
81,6.744230,692,151,90,59,484,347,0,31,484,316
82,6.827418,697,152,90,59,484,347,0,31,484,316
83,6.910599,702,153,90,59,484,347,0,31,484,316
84,6.993792,707,154,90,59,484,347,0,31,484,316
85,7.076914,711,155,90,59,484,347,0,31,484,316
86,7.160069,716,156,90,59,484,347,0,31,484,316
87,7.243220,721,157,90,59,484,347,0,31,484,316
88,7.326460,726,158,90,59,484,347,0,31,484,316
89,7.409683,731,159,90,59,484,347,0,31,484,316
90,7.492816,736,160,90,59,484,347,0,31,484,316
91,7.576024,741,161,90,59,484,347,0,31,484,316
92,7.659185,746,162,90,59,484,347,0,31,484,316
93,7.742382,751,163,90,59,484,347,0,31,484,316
94,7.825641,756,164,90,59,484,347,0,31,484,316
95,7.908834,761,165,90,59,484,347,0,31,484,316
96,7.991999,766,166,90,59,484,347,0,31,484,316
97,8.075188,771,167,90,59,484,347,0,31,484,316
98,8.158443,776,168,90,59,484,347,0,31,484,316
99,8.241692,781,169,90,59,484,347,0,31,484,316
100,8.324876,786,170,90,59,484,347,0,31,484,316
101,8.408080,791,171,90,59,484,347,0,31,484,316
102,8.491279,796,172,90,59,484,347,0,31,484,316
103,8.574526,801,173,90,59,484,347,0,31,484,316
104,8.657715,806,174,90,59,484,347,0,31,484,316
105,8.740832,811,175,90,59,484,347,0,31,484,316
106,8.824150,816,176,90,59,484,347,0,31,484,316
107,8.907273,821,177,90,59,484,347,0,31,484,316
108,8.990460,826,178,90,59,484,347,0,31,484,316
109,9.073611,830,179,90,59,484,347,0,31,484,316
110,9.156751,835,180,90,59,484,347,0,31,484,316
111,9.239904,840,181,90,59,484,347,0,31,484,316
112,9.323070,845,182,90,59,484,347,0,31,484,316
113,9.406255,850,183,90,59,484,347,0,31,484,316
114,9.489486,855,184,90,59,484,347,0,31,484,316
115,9.572662,860,185,90,59,484,347,0,31,484,316
116,9.655772,865,186,90,59,484,347,0,31,484,316
117,9.738899,870,187,90,59,484,347,0,31,484,316
118,9.822029,875,188,90,59,484,347,0,31,484,316
119,9.905341,880,189,90,59,484,347,0,31,484,316
120,9.988564,885,190,90,59,484,347,0,31,484,316
121,10.071657,890,191,90,59,484,347,0,31,484,316
